"Name","Rating","Gas Mileage","Engine","EPA Class","Style Name","Drivetrain","Passenger Capacity","Passenger Doors","Body Style","Transmission","EPA Classification","Base Curb Weight (lbs)","Passenger Capacity","Front Hip Room (in)","Front Leg Room (in)","Second Shoulder Room (in)","Passenger Volume (ft³)","Second Head Room (in)","Front Shoulder Room (in)","Second Hip Room (in)","Front Head Room (in)","Second Leg Room (in)","Wheelbase (in)","Track Width, Rear (in)","Height, Overall (in)","Length, Overall (in)","Min Ground Clearance (in)","Track Width, Front (in)","Width, Max w/o mirrors (in)","Cargo Volume to Seat 1 (ft³)","Cargo Volume to Seat 2 (ft³)","Cargo Volume to Seat 3 (ft³)","Fuel Tank Capacity, Approx (gal)","Fuel Economy Est-Combined (MPG)","EPA Fuel Economy Est - City (MPG)","EPA Fuel Economy Est - Hwy (MPG)","Engine Order Code","SAE Net Torque @ RPM","Fuel System","Engine Type","SAE Net Horsepower @ RPM","Displacement","Final Drive Axle Ratio (:1)","Drivetrain","First Gear Ratio (:1)","Sixth Gear Ratio (:1)","Trans Description Cont.","Fourth Gear Ratio (:1)","Trans Order Code","Second Gear Ratio (:1)","Reverse Ratio (:1)","Trans Description Cont. Again","Fifth Gear Ratio (:1)","Trans Type","Third Gear Ratio (:1)","Brake Type","Rear Brake Rotor Diam x Thickness (in)","Disc - Rear (Yes or   )","Brake ABS System","Drum - Rear (Yes or   )","Front Brake Rotor Diam x Thickness (in)","Disc - Front (Yes or   )","Rear Drum Diam x Width (in)","Steering Type","Turning Diameter - Curb to Curb (ft)","Front Tire Order Code","Spare Tire Size","Front Tire Size","Rear Tire Order Code","Rear Tire Size","Spare Tire Order Code","Front Wheel Size (in)","Spare Wheel Material","Front Wheel Material","Rear Wheel Size (in)","Rear Wheel Material","Spare Wheel Size (in)","Suspension Type - Front","Suspension Type - Rear (Cont.)","Suspension Type - Rear","Suspension Type - Front (Cont.)","Air Bag-Frontal-Driver","Air Bag-Frontal-Passenger","Air Bag-Passenger Switch (On/Off)","Air Bag-Side Body-Front","Air Bag-Side Body-Rear","Air Bag-Side Head-Front","Air Bag-Side Head-Rear","Brakes-ABS","Child Safety Rear Door Locks","Daytime Running Lights","Traction Control","Night Vision","Rollover Protection Bars","Fog Lamps","Parking Aid","Tire Pressure Monitor","Back-Up Camera","Stability Control","Other Features","Basic Miles/km","Basic Years","Corrosion Miles/km","Corrosion Years","Drivetrain Miles/km","Drivetrain Years","Hybrid/Electric Components Miles/km","Hybrid/Electric Components Years","Roadside Assistance Miles/km","Roadside Assistance Years"
"2013 BMW 7-Series","9","19 mpg City/28 mpg Hwy","Turbocharged Gas I6, 3.0L","Large Cars","Sedan","Rear Wheel Drive","5","4","4dr Car","8-speed automatic transmission -inc: automatic & manual shift modes both w/fully synchronized electronic gear changes","Large Cars","4350","5","- TBD -","41.3","57.6","115","38.9","59.2","- TBD -","40.8","44.3","126.4","65.0","58.3","205.3","5.8","63.4","74.9","N/A","N/A","N/A","21.7","22","19","28","NA","330 @ 1300-4500","Direct Injection","Turbocharged Gas I6","315 @ 5800","3.0L/182","3.077","Rear Wheel Drive","4.714","1.00","Automatic w/Manual Shift","1.667","NA","3.143","3.295","NA","1.285","8","2.106","Pwr","13.6 x 0.9","Yes","4-Wheel","NA","14.7 x 1.4","Yes","NA","Pwr Rack & Pinion Steering","41.7","NA","NA","P245/50R18","NA","P245/50R18","NA","18 x 8","NA","Aluminum","18 x 8","Aluminum","NA","Double-Wishbone","NA","Integral-V","NA","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Anti-lock braking system (ABS)
Dynamic stability control (DSC) -inc: brake fade compensation,...
Corona ring integrated daytime running lights
Driver & front passenger dual-threshold dual-stage front airbags...
Front-seat side-impact airbags
Front & rear head protection system (HPS)
Active knee protection
Front & rear park distance control w/graphic display
Rear-view camera
Active protection
Crash sensor that activates battery safety terminal disconnect...
BMW Assist w/enhanced Bluetooth & USB -inc: (4) years of...
Front safety belt automatic pretensioners, acoustic belt warning
3-point safety belt system -inc: ALR in all passenger positions
Lower anchors & tethers for children (LATCH) on rear outboard...
Child safety rear door locks
Emergency interior trunk release handle
Tire pressure monitor","50,000","4","Unlimited","12","50,000","4","N/A","N/A","Unlimited","4"
"2013 Ford Fusion","9","22 mpg City/34 mpg Hwy","Gas I4, 2.5L","Mid-Size Sedan","4dr Sdn S FWD","Front Wheel Drive","5","4","4dr Car","6-speed automatic transmission w/SelectShift","Mid-Size Sedan","3427","5","55.000","44.300","56.900","118.800","37.800","57.800","54.400","39.200","38.300","112.200","62.400","58.100","191.700","- TBD -","62.700","72.900","N/A","N/A","N/A","16.500","26","22","34","997","170 @ - TBD -","Electronic Fuel Injection","Gas I4","170 @ - TBD -","2.5L/152","3.070","Front Wheel Drive","4.580","0.750","Automatic w/Manual Shift","1.450","44W","2.960","2.940","NA","1.000","6","1.910","Pwr","- TBD -","Yes","4-Wheel","NA","- TBD -","Yes","NA","Pwr Rack & Pinion","37.600","NA","T125/80D16","P215/60HR16","NA","P215/60HR16","NA","16 x 6.5","Steel","Steel","16 x 6.5","Steel","Compact","MacPherson Strut","NA","Multi-Link","NA","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","No","Yes","AdvanceTrac (ESC) w/brake traction control
Emergency brake assist
Hill start assist
Dual front air bags
Side-impact air bags
Front/rear side curtain air bags
Dual front knee air bags
MyKey system -inc: top speed limiter, audio volume limiter,...
Selt belt pretensioners
Child safety rear door locks
LATCH (lower anchors & tethers for children) system on rear...
Emergency trunk release
Tire pressure monitoring system","36,000","3","Unlimited","5","60,000","5","100,000","8","60,000","5"
"2019 Acura RLX","7","28 mpg City/29 mpg Hwy","Gas/Electric V-6, 3.5 L","Midsize Cars","Sedan Sport Hybrid w/Advance Pkg","All Wheel Drive","5","4","4dr Car","Transmission: 7-Speed Dual Clutch (DCT) -inc: motor integration and Sequential SportShift paddle shifters","Midsize Cars","4380","5","55.9","42.3","57","102.1","36.9","59.6","54.5","37.6","38.8","112.2","64.2","57.7","198.1","3.8","64.3","74.4","N/A","N/A","N/A","15.1","28","28","29","NA","341 @ 4700","Gasoline Direct Injection","Gas/Electric V-6","377 @ 6500","3.5 L/212","3.58","All Wheel Drive","4.40","0.84","Auto-Shift Manual w/OD","1.55","NA","2.75","3.66","NA","1.14","7","2.03","4-Wheel Disc","12.2","Yes","4-Wheel","NA","13","Yes","NA","Rack-Pinion","40.5","NA","NA","P245/40WR19","NA","P245/40WR19","NA","19 X 8","NA","Aluminum","19 X 8","Aluminum","NA","Double Wishbone","Multi-Link","Multi-Link","Double Wishbone","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Cruise Control-Steering Assist
Vehicle Stability Assist Electronic Stability Control (ESC)
ABS And Driveline Traction Control
Side Impact Beams
Dual Stage Driver And Passenger Seat-Mounted Side Airbags
Blind Spot Information System Blind Spot
Collision Mitigation Braking System (CMBS) and Rear Cross...
Lane Keeping Assist System (LKAS) Lane Keeping Assist
Lane Keeping Assist System (LKAS) Lane Departure Warning
Collision Mitigation-Front
AcuraLink Emergency Sos
Front And Rear Parking Sensors
Aerial View Camera System
Tire Specific Low Tire Pressure Warning
Dual Stage Driver And Passenger Front Airbags
Curtain 1st And 2nd Row Airbags
Airbag Occupancy Sensor
Driver Knee Airbag
Rear Child Safety Locks
Outboard Front Lap And Shoulder Safety Belts -inc: Rear Center 3...
Back-Up Camera
Front Camera
Left Side Camera
Right Side Camera","50,000","4","Unlimited","5","70,000","6","100,000","8","50,000","4"
"2019 Audi A8","8","19 mpg City/27 mpg Hwy","Intercooled Turbo Gas/Electric V-6, 3.0 L","Large Cars","55 TFSI quattro","All Wheel Drive","5","4","4dr Car","Transmission: 8-Speed Auto w/Tiptronic","Large Cars","4751","5","N/A","41.5","57.6","N/A","38.5","59.1","N/A","38.3","44.3","123.1","64.3","58.5","208.7","N/A","64.7","76.6","N/A","N/A","N/A","21.7","22","19","27","NA","369 @ 1370","Gasoline Direct Injection","Intercooled Turbo Gas/Electric V-6","335 @ 5000","3.0 L/183","3.08","All Wheel Drive","4.71","1.00","Automatic w/OD","1.67","NA","3.14","3.32","NA","1.28","8","2.11","4-Wheel Disc","13.8","Yes","4-Wheel","NA","14.8","Yes","NA","Rack-Pinion","42.2","NA","Compact","P255/45HR19","NA","P255/45HR19","NA","19 X 9","Aluminum","Aluminum","19 X 9","Aluminum","Compact","Multi-Link","Multi-Link","Multi-Link","Multi-Link","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Electronic Stability Control (ESC)
ABS And Driveline Traction Control
Side Impact Beams
Dual Stage Driver And Passenger Seat-Mounted Side Airbags
Audi connect CARE Emergency Sos
Front And Rear Parking Sensors
Audi pre sense basic
Collision Mitigation-Front
Tire Specific Low Tire Pressure Warning
Dual Stage Driver And Passenger Front Airbags
SIDEGUARD Curtain 1st And 2nd Row Airbags
Airbag Occupancy Sensor
Driver And Passenger Knee Airbag and Rear Side-Impact Airbag
Rear Child Safety Locks
Outboard Front Lap And Shoulder Safety Belts -inc: Rear Center 3...
Back-Up Camera","50,000","4","Unlimited","12","50,000","4","N/A","N/A","Unlimited","4"
"2019 Chevrolet Malibu","6","49 mpg City/43 mpg Hwy","Gas/Electric I4, 1.8L","Midsize Cars","Hybrid","Front Wheel Drive","5","4","4dr Car","N/A","Midsize Cars","3366","5","54.1","41.5","57.1","102.9","37.5","58.5","53.4","39.1","38.1","111.4","62.5","57.3","194.2","NA","62.6","73.0","N/A","N/A","N/A","13.0","46","49","43","LKN","129 @ 4750","Direct Injection","Gas/Electric I4","122 @ 5000","1.8L/110","2.64","Front Wheel Drive","NA","NA","Automatic","NA","MKE","NA","NA","NA","NA","NA","NA","Pwr","11.3 x - TBD -","Yes","4-Wheel","NA","11.8 x - TBD -","Yes","NA","Electric Rack & Pinion","37.0","RA9","NA","P225/55R17","RA9","P225/55R17","NA","17 x 8.0","NA","Aluminum","17 x 8.0","Aluminum","NA","MacPherson Strut","NA","Four-Link","NA","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes","StabiliTrak, stability control system with brake assist includes...
Braking control, ECM grade
Daytime Running Lamps, LED, separate
Airbags, 10 total, frontal and knee for driver and front...
OnStar and Chevrolet connected services capable (Fleet orders...
Chevrolet Connected Access with 10 years of standard...
HD Rear Vision Camera
Rear Seat Reminder
LATCH system (Lower Anchors and Tethers for CHildren), for child...
Door locks, rear child security
Trunk latch, safety, manual release
Tire Pressure Monitor System
Teen Driver","36,000","3","100,000","6","60,000","5","100,000","8","60,000","5"
"2019 Chevrolet Volt","7","43 mpg City/42 mpg Hwy","Gas/Electric I4, 1.5L","Compact Cars","5dr HB LT","Front Wheel Drive","5","4","4dr Car","N/A","Compact Cars","3519","5","53.7","42.1","53.2","90.3","35.8","56.5","51.3","37.8","34.7","106.1","61.8","56.4","180.4","- TBD -","60.6","71.2","N/A","N/A","N/A","8.9","42","43","42","L3A","294 @ - TBD -","Direct Injection","Gas/Electric I4","149 @ - TBD -","1.5L/- TBD -","2.64","Front Wheel Drive","NA","NA","Automatic","NA","MKV","NA","NA","NA","NA","1","NA","Regenerative","10 x - TBD -","Yes","4-Wheel","NA","11 x - TBD -","Yes","NA","Electric Pwr","36.4","5GP","NA","P215/50R17","5GP","P215/50R17","NA","17 x 7","NA","Aluminum","17 x 7","Aluminum","NA","MacPherson Strut","w/Coil Springs","Compound Crank","w/Coil Springs","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes","StabiliTrak, stability control system with brake assist includes...
Daytime Running Lamps, LED illumination
Airbag, Passenger Sensing System sensor indicator inflatable...
Airbags, dual-stage frontal, driver and right-front passenger...
Airbags, thorax side-impact seat-mounted, side-front and...
Airbags, roof rail side-impact, front and rear outboard seating...
Airbags, knee, driver and front passenger (Always use safety...
OnStar and Chevrolet connected services capable (Fleet orders...
Chevrolet Connected Access with 10 years of standard...
HD Rear Vision Camera
Pedestrian safety signal automatic audible signal during low...
Seat belts, 3-point, all positions includes front seat dual...
Door locks, rear child security
LATCH system (Lower Anchors and Top tethers for CHildren), for...
Teen Driver Mode a configurable feature that lets you activate...
Tire Pressure Monitor System, auto learn includes Tire Fill Alert","36,000","3","100,000","6","60,000","5","100,000","8","60,000","5"
"2019 Ford Fusion","6","21 mpg City/31 mpg Hwy","Regular Unleaded I-4, 2.5 L","Midsize Cars","S FWD","Front Wheel Drive","5","4","4dr Car","Transmission: 6-Speed Automatic","Midsize Cars","3410","5","55","44.3","56.9","102.8","37.8","57.8","54.4","39.2","38.3","112.2","62.4","58.1","191.7","N/A","62.7","75.2","N/A","N/A","N/A","16.5","25","21","31","997","175 @ 4500","Sequential MPI","Regular Unleaded I-4","175 @ 6000","2.5 L/152","3.07","Front Wheel Drive","4.58","0.75","Automatic w/OD","1.45","44W","2.96","2.94","NA","1.00","6","1.91","4-Wheel Disc","11.9","Yes","4-Wheel","NA","11.8","Yes","NA","Rack-Pinion","37.6","NA","Compact","P215/60HR16","NA","P215/60HR16","NA","16 X 6.5","Steel","Steel","16 X 6.5","Steel","Compact","Strut","Multi-Link","Multi-Link","Strut","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes","AdvanceTrac Electronic Stability Control (ESC)
ABS And Driveline Traction Control
Side Impact Beams
Dual Stage Driver And Passenger Seat-Mounted Side Airbags
Ford Co-Pilot360 - Blind Spot Information System (BLIS) Blind...
Ford Co-Pilot360 - Automatic Emergency Braking (AEB) and Cross...
Lane Keeping Assist
Lane Departure Warning
Collision Mitigation-Front
Driver Monitoring-Alert
Tire Specific Low Tire Pressure Warning
Dual Stage Driver And Passenger Front Airbags
Curtain 1st And 2nd Row Airbags
Airbag Occupancy Sensor
Driver And Passenger Knee Airbag
Mykey System -inc: Top Speed Limiter, Audio Volume Limiter,...
Rear Child Safety Locks
Outboard Front Lap And Shoulder Safety Belts -inc: Rear Center 3...
Back-Up Camera","36,000","3","Unlimited","5","60,000","5","N/A","N/A","60,000","5"
"2019 Honda Accord","7","48 mpg City/48 mpg Hwy","Gas/Electric I-4, 2.0 L","Large Cars","EX Hybrid Sedan","Front Wheel Drive","5","4","4dr Car","N/A","Large Cars","3373","5","55.3","42.3","55","102.7","37.2","58.3","55","37.5","40.4","111.4","63.4","57.1","192.2","5.8","63","73.3","N/A","N/A","N/A","12.8","48","48","48","NA","129 @ 3500","Sequential MPI","Gas/Electric I-4","212 @ 6200","2.0 L/122","3.42","Front Wheel Drive","2.45 - 2.45","N/A","CVT w/OD","N/A","NA","N/A","8.40","NA","N/A","1","N/A","4-Wheel Disc","11.1","Yes","4-Wheel","NA","11.5","Yes","NA","Rack-Pinion","38.1","NA","NA","P225/50VR17","NA","P225/50VR17","NA","17 X 7.5","NA","Aluminum","17 X 7.5","Aluminum","NA","Strut","Multi-Link","Multi-Link","Strut","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","VSA Electronic Stability Control (ESC)
ABS And Driveline Traction Control
Side Impact Beams
Dual Stage Driver And Passenger Seat-Mounted Side Airbags
Road Departure Mitigation (RDM) Lane Keeping Assist
Road Departure Mitigation (RDM) Lane Departure Warning
Collision Mitigation-Front
Driver Monitoring-Alert
Blind Spot Information (BSI) System Blind Spot
Collision Mitigation Braking System (CMBS) + FCW and Rear Cross...
Low Tire Pressure Warning
Dual Stage Driver And Passenger Front Airbags
Curtain 1st And 2nd Row Airbags
Airbag Occupancy Sensor
Driver And Passenger Knee Airbag
Rear Child Safety Locks
Outboard Front Lap And Shoulder Safety Belts -inc: Rear Center 3...
Back-Up Camera","36,000","3","Unlimited","5","60,000","5","100,000","8","36,000","3"
"2019 Honda Clarity","6","N/A","Electric","Midsize Cars","Sedan","Front Wheel Drive","5","4","4dr Car","Transmission: Fixed Single-Speed Direct Drive -inc: sport and normal driving modes and Shift-By-Wire (SBW)","Midsize Cars","4024","5","55.8","42.2","57.3","101.5","37.1","59.7","55.6","39.1","36.2","108.3","62.5","58.2","192.7","N/A","62.2","73.9","N/A","N/A","N/A","N/A","N/A","N/A","N/A","NA","221 @ 3500","N/A","Electric","161 @ 4000","N/A","3.83","Front Wheel Drive","2.43","N/A","Automatic","N/A","NA","N/A","2.43","NA","N/A","1","N/A","4-Wheel Disc","12.2","Yes","4-Wheel","NA","12.3","Yes","NA","Rack-Pinion","38.4","NA","NA","P235/45VR18","NA","P235/45VR18","NA","18 X 8","NA","Aluminum","18 X 8","Aluminum","NA","Strut","Multi-Link","Multi-Link","Strut","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes","VSA Electronic Stability Control (ESC)
ABS And Driveline Traction Control
Side Impact Beams
Dual Stage Driver And Passenger Seat-Mounted Side Airbags
Collision Mitigation Braking System (CMBS) + FCW
Lane Keeping Assist System (LKAS) Lane Keeping Assist
Lane Keeping Assist System (LKAS) Lane Departure Warning
Collision Mitigation-Front
Low Tire Pressure Warning
Dual Stage Driver And Passenger Front Airbags
Curtain 1st And 2nd Row Airbags
Airbag Occupancy Sensor
Driver Knee Airbag
Rear Child Safety Locks
Outboard Front Lap And Shoulder Safety Belts -inc: Rear Center 3...
Back-Up Camera
Honda LaneWatch Right Side Camera","36,000","3","Unlimited","5","60,000","5","N/A","N/A","36,000","3"
"2019 Honda Insight","7","55 mpg City/49 mpg Hwy","Gas/Electric I-4, 1.5 L","Midsize Cars","EX CVT","Front Wheel Drive","5","4","4dr Car","N/A","Midsize Cars","3000","5","53.7","42.3","55","97.6","36.9","56.9","47.3","39.3","37.4","106.3","61.6","55.6","183.6","N/A","60.9","71.6","N/A","N/A","N/A","10.6","52","55","49","NA","99 @ 5000","Sequential MPI","Gas/Electric I-4","151 @ 6000","1.5 L/91","3.42","Front Wheel Drive","2.45 - 0.81","N/A","CVT w/OD","N/A","NA","N/A","2.45","NA","N/A","1","N/A","4-Wheel Disc","10.2","Yes","4-Wheel","NA","11.1","Yes","NA","Rack-Pinion","35.7","NA","NA","P215/55VR16","NA","P215/55VR16","NA","16 X 7","NA","Aluminum","16 X 7","Aluminum","NA","Strut","Multi-Link","Multi-Link","Strut","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes","VSA Electronic Stability Control (ESC)
ABS And Driveline Traction Control
Side Impact Beams
Dual Stage Driver And Passenger Seat-Mounted Side Airbags
Collision Mitigation Braking System (CMBS) + FCW
Lane Keeping Assist System (LKAS) Lane Keeping Assist
Lane Keeping Assist System (LKAS) Lane Departure Warning
Collision Mitigation-Front
Driver Monitoring-Alert
HondaLink Assist Emergency Sos
Low Tire Pressure Warning
Dual Stage Driver And Passenger Front Airbags
Curtain 1st And 2nd Row Airbags
Airbag Occupancy Sensor
Rear Child Safety Locks
Outboard Front Lap And Shoulder Safety Belts -inc: Rear Center 3...
Back-Up Camera
Honda LaneWatch Right Side Camera","36,000","3","Unlimited","5","60,000","5","100,000","8","36,000","3"
"2019 Hyundai Ioniq","6","N/A","Electric","Midsize Cars","Hatchback","Front Wheel Drive","5","4","4dr Car","Transmission: Single-Speed Reduction Gear Auto -inc: push button drive selector","Midsize Cars","3164","5","53.8","42.2","55","96.2","37.4","56.1","52.9","39.1","35.7","106.3","61.6","57.1","176","5.5","61.2","71.7","N/A","N/A","N/A","N/A","N/A","N/A","N/A","NA","218","N/A","Electric","118","N/A","7.41","Front Wheel Drive","N/A","N/A","Automatic","N/A","NA","N/A","N/A","NA","N/A","1","N/A","4-Wheel Disc","11.2","Yes","4-Wheel","NA","11","Yes","NA","Rack-Pinion","34.8","NA","NA","P205/55HR16","NA","P205/55HR16","NA","16 X 6.5","NA","Aluminum","16 X 6.5","Aluminum","NA","Strut","Torsion Beam","Torsion Beam","Strut","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Electronic Stability Control (ESC)
ABS And Driveline Traction Control
Side Impact Beams
Dual Stage Driver And Passenger Seat-Mounted Side Airbags
Tire Specific Low Tire Pressure Warning
Dual Stage Driver And Passenger Front Airbags
Curtain 1st And 2nd Row Airbags
Airbag Occupancy Sensor
Driver Knee Airbag
Rear Child Safety Locks
Outboard Front Lap And Shoulder Safety Belts -inc: Rear Center 3...
Back-Up Camera","60,000","5","Unlimited","7","100,000","10","N/A","N/A","Unlimited","5"
"2019 Hyundai Sonata","6","28 mpg City/37 mpg Hwy","Intercooled Turbo Regular Unleaded I-4, 1.6 L","Large Cars","Eco 1.6T","Front Wheel Drive","5","4","4dr Car","Transmission: 7-Speed EcoShift Dual Clutch (DCT) -inc: Electronically controlled w/dry dual clutch","Large Cars","3247","5","55.3","45.5","56.5","106.1","38","57.9","56.1","40.4","35.6","110.4","63.8","58.1","191.1","5.3","63.5","73.4","N/A","N/A","N/A","18.5","31","28","37","NA","195 @ 1500","Gasoline Direct Injection","Intercooled Turbo Regular Unleaded I-4","178 @ 5500","1.6 L/97","4.29","Front Wheel Drive","3.93","0.88","Auto-Shift Manual w/OD","1.07","NA","2.32","5.30","NA","0.82","7","2.04","4-Wheel Disc","11.2","Yes","4-Wheel","NA","12","Yes","NA","Rack-Pinion","35.6","NA","Compact","P205/65HR16","NA","P205/65HR16","NA","16 X 6.5","Steel","Aluminum","16 X 6.5","Aluminum","Compact","Strut","Multi-Link","Multi-Link","Strut","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Electronic Stability Control (ESC)
ABS And Driveline Traction Control
Side Impact Beams
Dual Stage Driver And Passenger Seat-Mounted Side Airbags
Blind Spot Detection (BSD) with Lane Change Assist (LCA) Blind...
and Rear Cross-Traffic Alert (RCTA)
Tire Specific Low Tire Pressure Warning
Dual Stage Driver And Passenger Front Airbags
Curtain 1st And 2nd Row Airbags
Airbag Occupancy Sensor
Driver Knee Airbag
Rear Child Safety Locks
Outboard Front Lap And Shoulder Safety Belts -inc: Rear Center 3...
Back-Up Camera","60,000","5","Unlimited","7","100,000","10","N/A","N/A","Unlimited","5"
"2019 Kia Niro","6","51 mpg City/46 mpg Hwy","Gas/Electric I-4, 1.6 L","Small Station Wagons","EX FWD","Front Wheel Drive","5","4","Sport Utility","Transmission: 6-Speed Dual-Clutch -inc: sport mode","Small Station Wagons","3199","5","53.7","41.7","55.2","100.9","39.1","56","48.3","40.1","37.4","106.3","62.2","60.4","171.5","6.3","61.6","71.1","54.5","19.4","19.4","11.9","49","51","46","NA","195 @ 2400","Gasoline Direct Injection","Gas/Electric I-4","139 @ 5700","1.6 L/96","3.23","Front Wheel Drive","3.87","0.77","Auto-Shift Manual w/OD","0.93","NA","2.22","5.35","NA","0.96","6","1.37","4-Wheel Disc","10.3","Yes","4-Wheel","NA","11","Yes","NA","Rack-Pinion","35","NA","NA","P205/60HR16","NA","P205/60HR16","NA","16 X 6.5","NA","Aluminum","16 X 6.5","Aluminum","NA","Strut","Multi-Link","Multi-Link","Strut","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Electronic Stability Control (ESC)
ABS And Driveline Traction Control
Side Impact Beams
Dual Stage Driver And Passenger Seat-Mounted Side Airbags
Blind Spot Detection (BSD) w/Lane Change Assist (LCA) Blind Spot
and Rear Cross Traffic Alert (RCTA)
Tire Specific Low Tire Pressure Warning
Dual Stage Driver And Passenger Front Airbags
Curtain 1st And 2nd Row Airbags
Airbag Occupancy Sensor
Driver Knee Airbag
Rear Child Safety Locks
Outboard Front Lap And Shoulder Safety Belts -inc: Rear Center 3...
Back-Up Camera","60,000","5","100,000","5","100,000","10","100,000","10","60,000","5"
"2019 Kia Optima","7","27 mpg City/37 mpg Hwy","Intercooled Turbo Regular Unleaded I-4, 1.6 L","Large Cars","EX DCT","Front Wheel Drive","5","4","4dr Car","Transmission: 7-Speed Dual Clutch (DCT) -inc: drive mode select system (comfort, eco, sport, smart)","Large Cars","3285","5","56","45.5","56.4","120.7","37.8","58.1","56","39.8","35.6","110.4","63.4","57.7","191.1","5.3","63.1","73.2","N/A","N/A","N/A","18.5","31","27","37","NA","195 @ 1500","Gasoline Direct Injection","Intercooled Turbo Regular Unleaded I-4","178 @ 5500","1.6 L/97","2.88","Front Wheel Drive","3.93","0.88","Auto-Shift Manual w/OD","1.07","NA","2.32","5.30","NA","0.82","7","2.04","4-Wheel Disc","11.2","Yes","4-Wheel","NA","12","Yes","NA","Rack-Pinion","N/A","NA","NA","P215/55VR17","NA","P215/55VR17","NA","17 X 6.5","NA","Aluminum","17 X 6.5","Aluminum","NA","Strut","Multi-Link","Multi-Link","Strut","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Electronic Stability Control (ESC)
ABS And Driveline Traction Control
Side Impact Beams
Dual Stage Driver And Passenger Seat-Mounted Side Airbags
Parking Distance Warning Rear Parking Sensors
Blind-Spot Collision Warning Blind Spot
Forward Collision-Avoidance Assist (FCA) and Rear Cross-Traffic...
Lane Keep Assist Lane Keeping Assist
Lane Keep Assist Lane Departure Warning
Collision Mitigation-Front
Driver Monitoring-Alert
UVO eServices Emergency Sos
Tire Specific Low Tire Pressure Warning
Dual Stage Driver And Passenger Front Airbags
Curtain 1st And 2nd Row Airbags
Airbag Occupancy Sensor
Driver Knee Airbag
Rear Child Safety Locks
Outboard Front Lap And Shoulder Safety Belts -inc: Rear Center 3...
Rear View Monitor with Parking Guidance Back-Up Camera","60,000","5","100,000","5","100,000","10","N/A","N/A","60,000","5"
